;;;Device;Place;BannerType;QueryType (search only);TargetingType;Shows;Clicks;Cost;Conversions
;;;Desktop;Search;text;Competitor;Phrase;0;0;0;0
;;;Desktop;Search;text;Other;Phrase;3;0;0;0
;;;Mobile;Networks;text;none;Retargeting;228;0;0;0
;;;Mobile;Search;text;Brand;Phrase;20752;6924;670501,9212;416
;;;Mobile;Search;text;Competitor;Phrase;0;0;0;0
;;;Mobile;Search;text;Other;Phrase;10;2;249,6461949;0
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;11237478;8680;773056,9981;43
;;;Desktop;Search;text;Brand;Phrase;688496;41265;2895871,081;2196
;;;Desktop;Search;text;Competitor;Phrase;446336;3363;1805011,105;152
;;;Desktop;Search;text;Other;Phrase;705082;19727;8856217,969;882
;;;Mobile;Networks;text;none;Phrase;0;0;0;0
;;;Mobile;Networks;text;none;Retargeting;3039326;18429;512132,3576;54
;;;Mobile;Search;text;Brand;Phrase;1461885;12364;996310,7355;803
;;;Mobile;Search;text;Competitor;Phrase;108920;1998;1437992,463;70
;;;Mobile;Search;text;Other;Phrase;400921;14759;6047699,593;576
;;;Desktop;Networks;text;none;Phrase;5053827;2531;74531,39504;0
;;;Desktop;Networks;text;none;Retargeting;45630;50;1536,406424;0
;;;Desktop;Search;text;Brand;Phrase;6933;1036;27636,63351;0
;;;Desktop;Search;text;Competitor;Phrase;11951;420;30360,94238;0
;;;Desktop;Search;text;Other;Phrase;28494;1362;165137,5706;0
;;;Mobile;Networks;text;none;Phrase;27647;396;4189,704076;0
;;;Mobile;Networks;text;none;Retargeting;462;16;173,3258136;0
;;;Mobile;Search;text;Brand;Phrase;5182;501;11097,27615;0
;;;Mobile;Search;text;Competitor;Phrase;5385;171;24943,33241;0
;;;Mobile;Search;text;Other;Phrase;12877;514;92334,13327;0
;;;Desktop;Networks;text;none;Phrase;4572545;3260;134282,4687;18
;;;Desktop;Networks;text;none;Retargeting;467054;300;6738,453381;0
;;;Desktop;Search;text;Brand;Phrase;17018;2992;911864,6396;329
;;;Desktop;Search;text;Competitor;Phrase;10034;127;58711,45803;10
;;;Desktop;Search;text;Other;Phrase;123092;2792;1711944,073;171
;;;Mobile;Networks;text;none;Phrase;234210;1107;16141,55713;1
;;;Mobile;Networks;text;none;Retargeting;134097;846;11076,67739;1
;;;Mobile;Search;text;Brand;Phrase;2369;906;368690,1866;75
;;;Mobile;Search;text;Competitor;Phrase;2702;44;29731,04964;2
;;;Mobile;Search;text;Other;Phrase;35967;830;550531,1709;27
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;0;0;0;0
;;;Desktop;Search;text;Brand;Phrase;102266;19312;2257788,477;1939
;;;Desktop;Search;text;Competitor;Phrase;66053;620;146687,998;23
;;;Desktop;Search;text;Other;Phrase;107253;2713;425673,206;58
;;;Mobile;Networks;text;none;Phrase;0;0;0;0
;;;Mobile;Search;text;Brand;Phrase;51704;9218;1291836,962;367
;;;Mobile;Search;text;Competitor;Phrase;32419;696;622818,8527;9
;;;Mobile;Search;text;Other;Phrase;78045;3041;2563016,579;57
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;1367458;2348;156143,6681;9
;;;Desktop;Search;text;Brand;Phrase;123120;25281;2624298,572;1344
;;;Desktop;Search;text;Competitor;Phrase;386188;4527;683717,7009;174
;;;Desktop;Search;text;Other;Phrase;715675;27831;2784331,043;1039
;;;Mobile;Networks;text;none;Phrase;0;0;0;0
;;;Mobile;Networks;text;none;Retargeting;423961;4422;70772,95703;3
;;;Mobile;Search;text;Brand;Phrase;21338;4722;655870,2809;336
;;;Mobile;Search;text;Competitor;Phrase;76282;2338;227127,1347;35
;;;Mobile;Search;text;Other;Phrase;203530;5405;606856,1415;176
;;;Desktop;Networks;cpm_banner;none;Phrase;0;0;0;0
;;;Desktop;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Mobile;Networks;cpm_banner;none;Phrase;0;0;0;0
;;;Mobile;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Desktop;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Desktop;Networks;cpc_video;none;Retargeting;19984;120;7753,334186;0
;;;Mobile;Networks;cpc_video;none;Retargeting;558;13;215,2079492;0
;;;Desktop;Networks;image_ad;none;Retargeting;5727954;14558;701834,2385;18
;;;Mobile;Networks;image_ad;none;Phrase;0;0;0;0
;;;Mobile;Networks;image_ad;none;Retargeting;4185276;55353;1201251,476;33
;;;Desktop;Networks;image_ad;none;Phrase;3401;35;545,1213559;0
;;;Desktop;Networks;image_ad;none;Retargeting;460;0;0;0
;;;Mobile;Networks;image_ad;none;Phrase;1;0;0;0
;;;Desktop;Networks;image_ad;none;Phrase;306306;845;18338,44078;1
;;;Desktop;Networks;image_ad;none;Retargeting;615;0;0;0
;;;Mobile;Networks;image_ad;none;Phrase;5823;120;1125,25828;0
;;;Mobile;Networks;image_ad;none;Retargeting;33;0;0;0
;;;Desktop;Networks;image_ad;none;Phrase;2560584;4143;110963,5007;5
;;;Desktop;Networks;image_ad;none;Retargeting;481247;815;32279,9563;2
;;;Mobile;Networks;image_ad;none;Phrase;330028;7704;38177,65851;1
;;;Mobile;Networks;image_ad;none;Retargeting;34384;750;9173,460432;0
;;;Desktop;Search;mcbanner;Brand;Phrase;18606;24;20096,62904;2
;;;Desktop;Search;mcbanner;Competitor;Phrase;3291;10;8551,951042;3
;;;Desktop;Search;mcbanner;Other;Phrase;17802;38;28006,75963;4
;;;Mobile;Search;mcbanner;Brand;Phrase;46;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;3;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;74;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Competitor;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Other;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;3801;8;2341,734686;0
;;;Desktop;Search;mcbanner;Competitor;Phrase;8660;17;4972,530966;0
;;;Desktop;Search;mcbanner;Other;Phrase;114;0;0;0
;;;Mobile;Search;mcbanner;Brand;Phrase;6;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;30;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;1893;5;1082,506602;0
;;;Desktop;Search;mcbanner;Competitor;Phrase;21784;17;4060,257305;0
;;;Desktop;Search;mcbanner;Other;Phrase;3023;8;1996,849297;0
;;;Mobile;Search;mcbanner;Brand;Phrase;3;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;20;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;7;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;60407;98;157446,9939;12
;;;Desktop;Search;mcbanner;Competitor;Phrase;22327;90;93306,40203;4
;;;Desktop;Search;mcbanner;Other;Phrase;238906;371;429798,1651;7
;;;Mobile;Search;mcbanner;Brand;Phrase;196;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;162;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;1173;1;1341,799907;0
;;;Desktop;Networks;text;none;Retargeting;0;0;0;0
;;;Desktop;Search;text;Brand;Phrase;100527;12300;1464666,459;1032
;;;Desktop;Search;text;Competitor;Phrase;0;0;0;0
;;;Desktop;Search;text;Other;Phrase;13;1;45,40970339;0
;;;Mobile;Search;text;Brand;Phrase;16915;3665;426206,1641;323
;;;Mobile;Search;text;Competitor;Phrase;1;0;0;0
;;;Mobile;Search;text;Other;Phrase;5;0;0;0
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;10909981;8110;800620,8095;54
;;;Desktop;Search;text;Brand;Phrase;527781;29011;2597526,501;1528
;;;Desktop;Search;text;Competitor;Phrase;320291;3181;1867219,5;118
;;;Desktop;Search;text;Other;Phrase;627189;17380;6944080,639;763
;;;Mobile;Networks;text;none;Phrase;0;0;0;0
;;;Mobile;Networks;text;none;Retargeting;1927468;11313;345844,6792;50
;;;Mobile;Search;text;Brand;Phrase;1427771;9526;956188,8957;578
;;;Mobile;Search;text;Competitor;Phrase;89788;1690;1141760,868;69
;;;Mobile;Search;text;Other;Phrase;367233;12943;4756707,541;468
;;;Desktop;Networks;text;none;Phrase;10420957;13030;223609,6532;32
;;;Desktop;Networks;text;none;Retargeting;111461;104;3090,719415;2
;;;Desktop;Search;text;Brand;Phrase;17372;4599;487091,9509;473
;;;Desktop;Search;text;Competitor;Phrase;32297;699;369773,835;26
;;;Desktop;Search;text;Other;Phrase;79460;2479;1831152,453;92
;;;Mobile;Networks;text;none;Phrase;14147649;134249;1124465,998;106
;;;Mobile;Networks;text;none;Retargeting;3034;58;728,9361356;0
;;;Mobile;Search;text;Brand;Phrase;6963;1740;215809,4535;110
;;;Mobile;Search;text;Competitor;Phrase;9709;242;159796,8319;15
;;;Mobile;Search;text;Other;Phrase;23747;945;787369,2186;28
;;;Desktop;Networks;text;none;Phrase;4008987;4064;143247,0895;10
;;;Desktop;Networks;text;none;Retargeting;372254;350;6818,971983;0
;;;Desktop;Search;text;Brand;Phrase;15028;3328;650312,6233;234
;;;Desktop;Search;text;Competitor;Phrase;7785;110;32015,79796;2
;;;Desktop;Search;text;Other;Phrase;101203;2615;1174746,868;123
;;;Mobile;Networks;text;none;Phrase;221852;1113;15970,72589;3
;;;Mobile;Networks;text;none;Retargeting;291465;1830;23386,00027;1
;;;Mobile;Search;text;Brand;Phrase;1899;735;250014,5018;48
;;;Mobile;Search;text;Competitor;Phrase;2331;17;6727,480602;1
;;;Mobile;Search;text;Other;Phrase;29508;603;271275,0602;23
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;0;0;0;0
;;;Desktop;Search;text;Brand;Phrase;65174;14774;1672047,736;1580
;;;Desktop;Search;text;Competitor;Phrase;86289;1197;482495,6426;39
;;;Desktop;Search;text;Other;Phrase;114079;2887;526035,3184;54
;;;Mobile;Networks;text;none;Phrase;0;0;0;0
;;;Mobile;Search;text;Brand;Phrase;29761;7037;784723,4299;300
;;;Mobile;Search;text;Competitor;Phrase;30594;777;704064,545;15
;;;Mobile;Search;text;Other;Phrase;72338;2919;2634660,959;69
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;1237776;1878;144537,173;10
;;;Desktop;Search;text;Brand;Phrase;95238;18927;2054820,367;1221
;;;Desktop;Search;text;Competitor;Phrase;298948;4086;637333,3582;105
;;;Desktop;Search;text;Other;Phrase;501568;14864;1911583,502;594
;;;Mobile;Networks;text;none;Phrase;0;0;0;0
;;;Mobile;Networks;text;none;Retargeting;334219;3788;58400,14678;2
;;;Mobile;Search;text;Brand;Phrase;19452;4495;571397,646;297
;;;Mobile;Search;text;Competitor;Phrase;64121;1178;130040,8634;22
;;;Mobile;Search;text;Other;Phrase;164281;4371;557255,2704;189
;;;Desktop;Networks;cpm_banner;none;Phrase;0;0;0;0
;;;Desktop;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Mobile;Networks;cpm_banner;none;Phrase;0;0;0;0
;;;Mobile;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Desktop;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Mobile;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Desktop;Networks;cpc_video;none;Retargeting;28256;128;11406,20064;0
;;;Mobile;Networks;cpc_video;none;Retargeting;568;3;79,77266949;0
;;;Desktop;Networks;image_ad;none;Phrase;4357148;3295;78386,67058;6
;;;Desktop;Networks;image_ad;none;Retargeting;6619038;11029;852721,48;40
;;;Mobile;Networks;image_ad;none;Phrase;469953;6571;73904,46198;8
;;;Mobile;Networks;image_ad;none;Retargeting;5042061;61412;1754229,537;41
;;;Desktop;Networks;image_ad;none;Phrase;9160;14;291,3039153;0
;;;Desktop;Networks;image_ad;none;Retargeting;518;2;111,3396102;0
;;;Mobile;Networks;image_ad;none;Phrase;1;0;0;0
;;;Mobile;Networks;image_ad;none;Retargeting;1;0;0;0
;;;Desktop;Networks;image_ad;none;Phrase;207828;193;4370,092119;0
;;;Desktop;Networks;image_ad;none;Retargeting;477;0;0;0
;;;Mobile;Networks;image_ad;none;Phrase;6633;60;442,0845;0
;;;Mobile;Networks;image_ad;none;Retargeting;13;0;0;0
;;;Desktop;Networks;image_ad;none;Phrase;4554325;7597;209292,181;13
;;;Desktop;Networks;image_ad;none;Retargeting;797024;455;36140,41604;4
;;;Mobile;Networks;image_ad;none;Retargeting;47419;495;9480,136678;2
;;;Desktop;Search;mcbanner;Brand;Phrase;10482;16;12695,89528;4
;;;Desktop;Search;mcbanner;Competitor;Phrase;4638;13;10895,53686;1
;;;Desktop;Search;mcbanner;Other;Phrase;22920;73;60798,30437;8
;;;Mobile;Search;mcbanner;Brand;Phrase;12;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;4;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;60;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Competitor;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Other;Phrase;0;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;10984;15;10032,80263;1
;;;Desktop;Search;mcbanner;Competitor;Phrase;35281;27;21853,13649;1
;;;Desktop;Search;mcbanner;Other;Phrase;9581;11;10640,42781;1
;;;Mobile;Search;mcbanner;Brand;Phrase;62;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;150;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;30;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;2154;0;0;0
;;;Desktop;Search;mcbanner;Competitor;Phrase;30059;15;4269,764797;0
;;;Desktop;Search;mcbanner;Other;Phrase;1890;5;1307,797576;0
;;;Mobile;Search;mcbanner;Brand;Phrase;3;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;16;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;47086;77;127717,2547;9
;;;Desktop;Search;mcbanner;Competitor;Phrase;25077;102;111578,0828;5
;;;Desktop;Search;mcbanner;Other;Phrase;239098;393;469020,7047;18
;;;Mobile;Search;mcbanner;Brand;Phrase;177;1;1852,461407;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;151;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;1246;1;1773,958195;0
;;;Desktop;Search;text;Brand;Phrase;103078;14949;1484360,852;1066
;;;Desktop;Search;text;Competitor;Phrase;0;0;0;0
;;;Desktop;Search;text;Other;Phrase;15;5;304,1543136;0
;;;Mobile;Search;text;Brand;Phrase;18673;4021;415607,8195;359
;;;Mobile;Search;text;Competitor;Phrase;0;0;0;0
;;;Mobile;Search;text;Other;Phrase;3;0;0;0
;;;Desktop;Networks;text;none;Phrase;68446090;83141;1499273,627;43
;;;Desktop;Networks;text;none;Retargeting;4615053;1368;130922,9787;10
;;;Desktop;Search;text;Brand;Phrase;404839;31104;1945990,943;1481
;;;Desktop;Search;text;Competitor;Phrase;310540;3056;1815449,23;135
;;;Desktop;Search;text;Other;Phrase;540004;17769;6728927,049;694
;;;Mobile;Networks;text;none;Phrase;333734;6681;31165,18238;4
;;;Mobile;Networks;text;none;Retargeting;586319;3182;98561,22966;11
;;;Mobile;Search;text;Brand;Phrase;977975;9942;1037705,704;556
;;;Mobile;Search;text;Competitor;Phrase;97521;2028;1442777,361;89
;;;Mobile;Search;text;Other;Phrase;386373;14583;5106814,689;529
;;;Desktop;Networks;text;none;Phrase;47989085;25307;632225,3421;73
;;;Desktop;Networks;text;none;Retargeting;111820;175;5312,152347;2
;;;Desktop;Search;text;Brand;Phrase;16819;5995;557152,0302;607
;;;Desktop;Search;text;Competitor;Phrase;57946;1210;632655,2553;63
;;;Desktop;Search;text;Other;Phrase;53555;2255;980772,8266;99
;;;Mobile;Networks;text;none;Phrase;36672816;424002;3223291,306;215
;;;Mobile;Networks;text;none;Retargeting;3752;75;1166,562992;5
;;;Mobile;Search;text;Brand;Phrase;7979;2616;288086,389;201
;;;Mobile;Search;text;Competitor;Phrase;19208;533;339269,5884;23
;;;Mobile;Search;text;Other;Phrase;22645;899;452849,6677;39
;;;Desktop;Networks;text;none;Phrase;2733257;3715;140185,7372;8
;;;Desktop;Networks;text;none;Retargeting;84245;100;2171,100102;0
;;;Desktop;Search;text;Brand;Phrase;13907;4806;669652,3164;278
;;;Desktop;Search;text;Competitor;Phrase;5983;98;27461,3668;7
;;;Desktop;Search;text;Other;Phrase;71204;2699;1096371,653;134
;;;Mobile;Networks;text;none;Phrase;106005;657;10759,35023;2
;;;Mobile;Networks;text;none;Retargeting;89307;647;8598,73139;2
;;;Mobile;Search;text;Brand;Phrase;2353;952;241176,3268;70
;;;Mobile;Search;text;Competitor;Phrase;2260;26;8926,505898;0
;;;Mobile;Search;text;Other;Phrase;31864;793;376503,1443;23
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;0;0;0;0
;;;Desktop;Search;text;Brand;Phrase;51177;15594;1573069,5;1593
;;;Desktop;Search;text;Competitor;Phrase;85437;1370;1038269,552;58
;;;Desktop;Search;text;Other;Phrase;123198;4686;2711202,36;138
;;;Mobile;Networks;text;none;Phrase;0;0;0;0
;;;Mobile;Search;text;Brand;Phrase;32742;8463;883204,4412;347
;;;Mobile;Search;text;Competitor;Phrase;35662;857;725859,2032;18
;;;Mobile;Search;text;Other;Phrase;74866;3279;2361371,788;67
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;1593621;2421;246624,1879;31
;;;Desktop;Search;text;Brand;Phrase;95017;22246;2291153,2;1368
;;;Desktop;Search;text;Competitor;Phrase;289856;4475;790206,8529;172
;;;Desktop;Search;text;Other;Phrase;577464;20023;2332182,862;749
;;;Mobile;Networks;text;none;Phrase;0;0;0;0
;;;Mobile;Networks;text;none;Retargeting;297120;1979;71386,68717;6
;;;Mobile;Search;text;Brand;Phrase;23108;5763;657090,7624;366
;;;Mobile;Search;text;Competitor;Phrase;73693;1622;184884,9684;39
;;;Mobile;Search;text;Other;Phrase;197139;5867;707616,7767;241
;;;Desktop;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Desktop;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Desktop;Networks;cpm_banner;none;Retargeting;0;0;0;0
;;;Desktop;Networks;cpc_video;none;Retargeting;22580;91;6381,399381;0
;;;Mobile;Networks;cpc_video;none;Retargeting;556;9;278,3662373;0
;;;Desktop;Networks;image_ad;none;Phrase;5029437;2655;90041,60054;22
;;;Desktop;Networks;image_ad;none;Retargeting;5830580;11051;764918,49;35
;;;Mobile;Networks;image_ad;none;Phrase;394942;4945;52214,36347;2
;;;Mobile;Networks;image_ad;none;Retargeting;3263061;51059;1633436,5;65
;;;Desktop;Networks;image_ad;none;Phrase;5366;3;72,08079661;0
;;;Desktop;Networks;image_ad;none;Retargeting;819;0;0;0
;;;Mobile;Networks;image_ad;none;Phrase;788;24;93,3984661;0
;;;Mobile;Networks;image_ad;none;Retargeting;50;2;23,05138983;0
;;;Desktop;Networks;image_ad;none;Phrase;136127;130;3904,656992;1
;;;Desktop;Networks;image_ad;none;Retargeting;537;0;0;0
;;;Mobile;Networks;image_ad;none;Phrase;3555;51;350,6013559;0
;;;Mobile;Networks;image_ad;none;Retargeting;23;0;0;0
;;;Desktop;Networks;image_ad;none;Phrase;8081551;13018;246260,0071;28
;;;Desktop;Networks;image_ad;none;Retargeting;909047;712;48709,12319;8
;;;Mobile;Networks;image_ad;none;Phrase;7709466;108208;601239,3063;16
;;;Mobile;Networks;image_ad;none;Retargeting;76395;1104;13926,20987;3
;;;Desktop;Search;mcbanner;Brand;Phrase;11157;14;11245,60482;6
;;;Desktop;Search;mcbanner;Competitor;Phrase;6363;10;10541,38281;5
;;;Desktop;Search;mcbanner;Other;Phrase;33295;122;97303,13458;17
;;;Mobile;Search;mcbanner;Brand;Phrase;28;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;8;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;137;1;974,2444068;0
;;;Desktop;Search;mcbanner;Brand;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Competitor;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Other;Phrase;0;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;74608;75;55700,49641;1
;;;Desktop;Search;mcbanner;Competitor;Phrase;45956;46;47980,34863;2
;;;Desktop;Search;mcbanner;Other;Phrase;14961;23;20685,57386;0
;;;Mobile;Search;mcbanner;Brand;Phrase;79;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;192;1;1819,407508;0
;;;Mobile;Search;mcbanner;Other;Phrase;67;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;3860;3;781,7256864;0
;;;Desktop;Search;mcbanner;Competitor;Phrase;50837;12;2608,008941;0
;;;Desktop;Search;mcbanner;Other;Phrase;3739;5;1329,091297;0
;;;Mobile;Search;mcbanner;Brand;Phrase;4;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;14;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;1;0;0;0
;;;Desktop;Search;mcbanner;Brand;Phrase;54659;64;120442,0529;8
;;;Desktop;Search;mcbanner;Competitor;Phrase;24933;96;107645,8411;7
;;;Desktop;Search;mcbanner;Other;Phrase;137505;282;329749,1586;18
;;;Mobile;Search;mcbanner;Brand;Phrase;186;0;0;0
;;;Mobile;Search;mcbanner;Competitor;Phrase;138;0;0;0
;;;Mobile;Search;mcbanner;Other;Phrase;743;1;745,1424915;1
;;;Desktop;Search;text;Brand;Phrase;130758;19660;1985189,923;1061
;;;Desktop;Search;text;Competitor;Phrase;0;0;0;0
;;;Desktop;Search;text;Other;Phrase;19;2;115,1845169;0
;;;Mobile;Networks;text;none;Retargeting;0;0;0;0
;;;Mobile;Search;text;Brand;Phrase;24076;5373;479221,3253;393
;;;Mobile;Search;text;Competitor;Phrase;0;0;0;0
;;;Mobile;Search;text;Other;Phrase;9;2;42,81091525;0
;;;Desktop;Networks;text;none;Phrase;81678190;99027;3748607,869;70
;;;Desktop;Networks;text;none;Retargeting;11958347;1596;126553,5787;6
;;;Desktop;Search;text;Brand;Phrase;442360;45925;2809429,072;1361
;;;Desktop;Search;text;Competitor;Phrase;296440;5005;2655087,922;122
;;;Desktop;Search;text;Other;Phrase;483688;23311;10532652,15;751
;;;Mobile;Networks;text;none;Phrase;1168143;7731;101865,9814;24
;;;Mobile;Networks;text;none;Retargeting;673358;3297;78455,56274;3
;;;Mobile;Search;text;Brand;Phrase;895621;11904;949679,6827;534
;;;Mobile;Search;text;Competitor;Phrase;83812;2188;1382734,936;86
;;;Mobile;Search;text;Other;Phrase;334059;15450;5489127,017;584
;;;Desktop;Networks;text;none;Phrase;25986305;14054;685546,6746;52
;;;Desktop;Networks;text;none;Retargeting;3281353;1465;105063,7903;26
;;;Desktop;Search;text;Brand;Phrase;54194;8947;923259,2329;663
;;;Desktop;Search;text;Competitor;Phrase;63207;2604;802732,4519;64
;;;Desktop;Search;text;Other;Phrase;78707;3667;1644560,113;128
;;;Mobile;Networks;text;none;Phrase;8698780;64606;997826,5192;74
;;;Mobile;Networks;text;none;Retargeting;438860;3681;88141,63546;20
;;;Mobile;Search;text;Brand;Phrase;9373;3175;289016,358;222
;;;Mobile;Search;text;Competitor;Phrase;19967;829;305466,1167;25
;;;Mobile;Search;text;Other;Phrase;30300;1179;523061,0652;34
;;;Desktop;Networks;text;none;Phrase;3315447;4975;167025,7318;13
;;;Desktop;Networks;text;none;Retargeting;2779;1;10,27039831;0
;;;Desktop;Search;text;Brand;Phrase;14661;5381;749950,0304;308
;;;Desktop;Search;text;Competitor;Phrase;4636;135;53164,47999;6
;;;Desktop;Search;text;Other;Phrase;86561;5002;2320037,384;179
;;;Mobile;Networks;text;none;Phrase;97941;574;8905,607847;1
;;;Mobile;Networks;text;none;Retargeting;476;3;13,38887288;0
;;;Mobile;Search;text;Brand;Phrase;2723;1195;248652,2209;93
;;;Mobile;Search;text;Competitor;Phrase;1714;42;20303,69171;2
;;;Mobile;Search;text;Other;Phrase;32719;1257;620212,2229;46
;;;Desktop;Networks;text;none;Phrase;0;0;0;0
;;;Desktop;Networks;text;none;Retargeting;0;0;0;0
;;;Desktop;Search;text;Brand;Phrase;63095;19231;1743041,123;1681
;;;Desktop;Search;text;Competitor;Phrase;111431;4753;2643975,174;67
